"message				",charaName,charaIcon,LorR,anims,choiseNo,choiseName,ItemFrg
ちょ、ちょっと止まってぇ～！,メソメソ,3,FALSE,0,0,,999
おー、おー！お前がアマリか？,ムカムカ,2,TRUE,0,0,,999
お前も大変だなぁ～、ドーラのしりぬぐいのために生み出されて…,ムカムカ,2,TRUE,0,0,,999
って、お前今の状況分かってるか？,ムカムカ,2,TRUE,0,1,testChoiseW,999
"そうか！ぼーっとした顔してるけど、
意外と状況理解できてるんだな！",ムカムカ,2,TRUE,0,0,,999
お前…自分が生まれた理由くらいわかっとけよ。,ムカムカ,2,TRUE,0,0,,999
ドーラさんの失態で感情がそこら中に散らばっちゃったんだよねぇ～…。,メソメソ,3,FALSE,0,0,,999
ついでに言うと、その散らばった感情が「エリス」ってやつのせいで悪さしてるみたいなんだよな…,ムカムカ,2,TRUE,0,0,,999
今朝も洗濯ものがぐちゃぐちゃになってて困ったよぉ～…,メソメソ,3,FALSE,0,0,,999
"いたずらするのは好きだがされるのは気に食わねぇ…。
ってことで１つエリスをぶっ倒してきてくれないか？",ムカムカ,2,TRUE,0,0,,999
私たちがいたずらに使おうと思ってたコレ、あげるよぉ～。,メソメソ,3,FALSE,0,0,,999
青い小瓶を手に入れた,　,0,FALSE,0,0,,0
赤い小瓶を手に入れた,　,0,TRUE,0,0,,1
エリスは冥界の方に向かったみたいだから頑張れよ～！,ムカムカ,2,FALSE,0,0,,999
何かあったら呼んでねぇ～。,メソメソ,3,FALSE,0,0,,999
"悲しみと怒りの力を手に入れた
後退、攻撃ができるようになったぞ",,0,FALSE,0,0,,999
"スキルツリーの開放！
感情の種を手に入れて感情を強化しよう！",,0,TRUE,0,0,,999
